book_id,authors,original_title,Urls
2077,Anna Godbersen,The Luxe,https://play.google.com/store/books/details/Anna_Godbersen_The_Luxe?id=XG5At3bBBWAC
4343,Anna Godbersen,Rumors,https://play.google.com/store/books/details/Anna_Godbersen_Rumors?id=jM_ccDoyJC4C
6721,Anna Godbersen,Envy,https://play.google.com/store/books/details/Anna_Godbersen_Envy?id=Sj02BqZJJrkC
8206,Anna Godbersen,Splendor,https://play.google.com/store/books/details/Anna_Godbersen_Splendor?id=TonevCxzs_QC
2201,Aprilynne Pike,Wings ,https://play.google.com/store/books/details/Aprilynne_Pike_Wings?id=ZoIDSON3vxcC
4204,Aprilynne Pike,Spells,https://play.google.com/store/books/details/Aprilynne_Pike_Spells?id=JoxFDgLfyCcC
5224,Aprilynne Pike,Illusions,https://play.google.com/store/books/details/Aprilynne_Pike_Illusions?id=eDU2n4XJ1l8C
7776,Aprilynne Pike,Destined,https://play.google.com/store/books/details/Aprilynne_Pike_Destined?id=sJlYnfXEwwQC
197,Charlaine Harris,Dead Until Dark,https://play.google.com/store/books/details/Charlaine_Harris_Dead_Until_Dark?id=P3CMsbSTL78C
652,Charlaine Harris,"Definitely Dead (Sookie Stackhouse, #6)",https://play.google.com/store/books/details/Charlaine_Harris_Definitely_Dead?id=Up_nQ4FDtuMC
871,Charlaine Harris,Dead in the Family,https://play.google.com/store/books/details/Charlaine_Harris_Dead_in_the_Family?id=zezJOW8XFc0C
5044,Charlaine Harris,Grave Surprise,https://play.google.com/store/books/details/Charlaine_Harris_Grave_Surprise?id=X09gx9kgwMoC
1392,Chuck Klosterman,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",https://play.google.com/store/books/details/Chuck_Klosterman_Sex_Drugs_and_Cocoa_Puffs?id=_RzhJ2fkM20C
3598,Chuck Klosterman,Killing Yourself to Live: 85% of a True Story,https://play.google.com/store/books/details/Chuck_Klosterman_Killing_Yourself_to_Live?id=cqkacQkp1mcC
5482,Chuck Klosterman,Chuck Klosterman IV: A Decade of Curious People and Dangerous Ideas,https://play.google.com/store/books/details/Chuck_Klosterman_Chuck_Klosterman_IV?id=etn787yup4QC
7257,Chuck Klosterman,Fargo Rock City: A Heavy Metal Odyssey in Rural North Dakota,https://play.google.com/store/books/details/Chuck_Klosterman_Fargo_Rock_City?id=b1al4ghM_VwC
2764,Cinda Williams Chima,The Demon King,https://play.google.com/store/books/details/Cinda_Williams_Chima_The_Demon_King?id=06u_h14n0CkC
3052,Cinda Williams Chima,The Warrior Heir,https://play.google.com/store/books/details/Cinda_Williams_Chima_The_Warrior_Heir?id=dYBB9OqgQhsC
3350,Cinda Williams Chima,The Wizard Heir,https://play.google.com/store/books/details/Cinda_Williams_Chima_The_Wizard_Heir?id=PWm7DLtyOBMC
3563,Cinda Williams Chima,The Exiled Queen,https://play.google.com/store/books/details/Cinda_Williams_Chima_The_Exiled_Queen?id=mE0d89jGH3MC
5764,Clive Cussler,"Valhalla Rising (Dirk Pitt, #16)",https://play.google.com/store/books/details/Clive_Cussler_Valhalla_Rising?id=QS9SE1UtqecC
8026,Clive Cussler,Deep Six,https://play.google.com/store/audiobooks/details/Clive_Cussler_Deep_Six?id=AQAAAEDMxT-F4M
9431,Clive Cussler,The Chase,https://play.google.com/store/books/details/Clive_Cussler_The_Chase?id=Cke0hK_qTQcC
9655,Clive Cussler,Treasure,https://play.google.com/store/books/details/Clive_Cussler_Treasure_of_Khan?id=7XaWGh0Bhl0C
1463,David Eddings,Enchanters' End Game,https://play.google.com/store/audiobooks/details/David_Eddings_Enchanters_End_Game?id=AQAAAIBF035TKM
2198,David Eddings,Queen of Sorcery,https://play.google.com/store/audiobooks/details/David_Eddings_Queen_of_Sorcery?id=AQAAAIDFhAEE1M
3096,David Eddings,Guardians of the West,https://play.google.com/store/audiobooks/details/David_Eddings_Guardians_of_the_West?id=AQAAAIDFdxX3wM
3938,David Eddings,Demon Lord of Karanda,https://play.google.com/store/audiobooks/details/David_Eddings_Demon_Lord_of_Karanda?id=AQAAAEAMcT0xIM
344,David Sedaris,Naked,https://play.google.com/store/books/details/David_Sedaris_Naked?id=cLJZ_kaBhRwC
534,David Sedaris,When You Are Engulfed in Flames,https://play.google.com/store/books/details/David_Sedaris_When_You_Are_Engulfed_in_Flames?id=1cuf2UOiRT4C
1923,David Sedaris,Barrel Fever: Stories and Essays,https://play.google.com/store/books/details/David_Sedaris_Barrel_Fever?id=3FNOKVQvnNIC
1176,Dennis Lehane,Mystic River,https://play.google.com/store/books/details/Dennis_Lehane_Mystic_River?id=mt6lRtdIdIUC
3744,Dennis Lehane,A Drink Before the War,https://play.google.com/store/books/details/Dennis_Lehane_A_Drink_Before_the_War?id=_POlIBFMR68C
5766,Dennis Lehane,The Given Day,https://play.google.com/store/books/details/Dennis_Lehane_The_Given_Day?id=23kcA4YgfMIC
6826,Dennis Lehane,Moonlight Mile ,https://play.google.com/store/books/details/Dennis_Lehane_Moonlight_Mile?id=KFjw5b7DP_UC
54,Douglas Adams,The Hitchhiker's Guide to the Galaxy,https://play.google.com/store/books/details/Douglas_Adams_The_Ultimate_Hitchhiker_s_Guide_to_t?id=mO-62VxpLe0C
1042,Douglas Adams,Dirk Gently's Holistic Detective Agency,https://play.google.com/store/books/details/Douglas_Adams_Dirk_Gently_s_Holistic_Detective_Age?id=0sm1UmgHCwgC
1332,Douglas Adams,Mostly Harmless,https://play.google.com/store/books/details/Douglas_Adams_Mostly_Harmless?id=N0hKT6HeZK0C
